variable,category,frequency,status,source,source_url,role_in_model,suggested_transform,notes
MOVE,Rates volatility,Daily,source_located_not_included,ICE / Yahoo / Stooq,https://developer.ice.com/fixed-income-data-services/catalog/ice-data-indices-move-index,债券/利率市场波动，补充 VIX,"level, change, rolling mean",Official data is ICE product; use licensed source or public finance portal if permitted.
credit_spread_ig,Credit/financial stress,Daily,source_located_not_included,FRED BAMLC0A0CM,https://fred.stlouisfed.org/series/BAMLC0A0CM,投资级信用压力；金融风险补偿,"level, delta, rolling mean",FRED source located; not downloaded in current environment.
credit_spread_hy,Credit/financial stress,Daily,source_located_not_included,FRED BAMLH0A0HYM2,https://fred.stlouisfed.org/series/BAMLH0A0HYM2,高收益信用压力；风险偏好恶化,"level, delta, rolling mean",FRED source located; not downloaded in current environment.
financial_stress,Credit/financial stress,Weekly,source_located_not_included,FRED STLFSI4,https://fred.stlouisfed.org/series/STLFSI4,综合金融压力稳健性变量,"level, delta, forward-fill",FRED source located; not downloaded in current environment.
gold_etf_holdings_flows,Investment demand,Weekly/Monthly,source_located_not_included,World Gold Council,https://www.gold.org/goldhub/data/gold-etfs-holdings-and-flows,黄金投资需求与资金流,"holdings level, flows, lagged flows",Download URL located but direct file access may require browser permissions.
central_bank_gold_reserves_changes,Official demand,Monthly/Quarterly,source_located_not_included,World Gold Council / IMF IFS,https://www.gold.org/goldhub/data/gold-reserves-by-country,央行购金/官方储备需求，解释黄金中长期风险,"monthly change, quarterly total",Download URL located but direct file access may require browser permissions.
CFTC_COT_disaggregated_positions,Futures positioning,Weekly,source_located_not_included,CFTC Disaggregated Futures Only,https://publicreporting.cftc.gov/Commitments-of-Traders/Disaggregated-Futures-Only/72hh-3qpy,投机/套保资金流，解释期货端输出风险,"managed money net, producer net, swap net, net/open interest",API source located; historical query to be run outside the current network-restricted environment.
COMEX_volume_open_interest,Market microstructure,Daily/Weekly,source_located_not_included,CME / CFTC,https://www.cmegroup.com/market-data/volume-open-interest.html,流动性与风险承载能力,"volume/OI level, changes",CME data access may require product page/manual export; CFTC OI available weekly.
industrial_production,Industrial demand,Monthly,source_located_not_included,FRED INDPRO / OECD,https://fred.stlouisfed.org/series/INDPRO,白银、铂、钯工业需求代理,"YoY, MoM, rolling mean",FRED source located; not downloaded in current environment.
PMI,Industrial demand,Monthly,source_located_not_included,ISM / S&P Global / Trading Economics,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/,制造业景气先行指标,"level, change, lagged",Full global PMI history often requires subscription; ISM US series more accessible.
auto_production,Automotive demand,Quarterly/Annual,source_located_not_included,OICA,https://oica.net/production-statistics/,铂钯汽车催化剂需求代理,"YoY growth, level",OICA source located; manual download likely needed.
platinum_supply_demand,PGM fundamentals,Quarterly/Annual,source_located_not_included,WPIC,https://platinuminvestment.com/supply-and-demand/historic-data,铂金长期基本面,"deficit/surplus, supply, demand",Download link located; binary file not fetched in current environment.
palladium_supply_demand,PGM fundamentals,Annual,source_located_not_included,Johnson Matthey,https://matthey.com/en/products-and-markets/pgms-and-circularity/pgm-market-data,钯金长期供需、替代关系和缺口,"deficit/surplus, supply, demand",Download link located; binary file not fetched in current environment.
silver_supply_demand,Silver fundamentals,Annual,source_located_not_included,Silver Institute,https://silverinstitute.org/silver-supply-demand/,白银工业/投资双属性,"supply, demand, deficit/surplus",Annual survey data; may require manual extraction.
