variable,category,frequency,status,source,source_url,role_in_model,suggested_transform,notes
dollar_index,Macro-financial,Daily,included_raw,FRED / existing downloaded raw,https://fred.stlouisfed.org/series/DTWEXBGS,美元计价与全球流动性；解释贵金属整体风险联动,"level, log return, 20/60/252d rolling mean",Downloaded earlier in project; packaged here as CSV.
yield_10y,Macro-financial,Daily,included_raw,FRED / existing downloaded raw,https://fred.stlouisfed.org/series/DGS10,名义利率/机会成本；黄金与白银中长期风险驱动,"level, delta, rolling mean",Downloaded earlier in project; packaged here as CSV.
breakeven_10y,Macro-financial,Daily,included_raw,FRED / existing downloaded raw,https://fred.stlouisfed.org/series/T10YIE,市场通胀预期；贵金属抗通胀叙事,"level, delta, rolling mean",Downloaded earlier in project; packaged here as CSV.
real_rate_10y_approx,Macro-financial,Daily,constructed,Derived from DGS10 - T10YIE,https://fred.stlouisfed.org/series/DFII10,实际利率/黄金核心定价变量；替代 DFII10,"level, delta, rolling mean",Exact TIPS series DFII10 can be downloaded separately; this package constructs an approximation from nominal 10Y yield minus breakeven inflation.
vix_close,Risk sentiment,Daily,included_raw,FRED / existing downloaded raw,https://fred.stlouisfed.org/series/VIXCLS,股票市场恐慌/避险需求,"level, log return, rolling mean",Downloaded earlier in project; packaged here as CSV.
wti_price_usd,Commodity/inflation,Daily,included_raw,FRED / existing downloaded raw,https://fred.stlouisfed.org/series/DCOILWTICO,能源价格、通胀与工业成本通道,"level, log return, rolling mean",Downloaded earlier in project; packaged here as CSV.
gpr,Uncertainty,Monthly,included_raw_from_xlsx,Caldara & Iacoviello GPR official XLSX,https://www.matteoiacoviello.com/gpr.htm,地缘政治风险；避险需求与供应扰动,"level, monthly change, forward-fill to daily",Parsed from official XLSX already available in project.
gold_silver_ratio_*,Relative valuation,Daily,constructed,User precious metals price panel,internal price panel,金银相对定价；金融属性/工业属性切换,"level, log change",Constructed from futures and spot prices.
platinum_palladium_ratio_*,Relative valuation,Daily,constructed,User precious metals price panel,internal price panel,铂钯替代关系与汽车催化剂需求结构,"level, log change",Constructed from futures and spot prices.
gold_platinum_ratio_*,Relative valuation,Daily,constructed,User precious metals price panel,internal price panel,金融属性相对工业属性定价,"level, log change",Constructed from futures and spot prices.
MOVE,Rates volatility,Daily,source_located_not_included,ICE / Yahoo / Stooq,https://developer.ice.com/fixed-income-data-services/catalog/ice-data-indices-move-index,债券/利率市场波动，补充 VIX,"level, change, rolling mean",Official data is ICE product; use licensed source or public finance portal if permitted.
credit_spread_ig,Credit/financial stress,Daily,source_located_not_included,FRED BAMLC0A0CM,https://fred.stlouisfed.org/series/BAMLC0A0CM,投资级信用压力；金融风险补偿,"level, delta, rolling mean",FRED source located; not downloaded in current environment.
credit_spread_hy,Credit/financial stress,Daily,source_located_not_included,FRED BAMLH0A0HYM2,https://fred.stlouisfed.org/series/BAMLH0A0HYM2,高收益信用压力；风险偏好恶化,"level, delta, rolling mean",FRED source located; not downloaded in current environment.
financial_stress,Credit/financial stress,Weekly,source_located_not_included,FRED STLFSI4,https://fred.stlouisfed.org/series/STLFSI4,综合金融压力稳健性变量,"level, delta, forward-fill",FRED source located; not downloaded in current environment.
gold_etf_holdings_flows,Investment demand,Weekly/Monthly,source_located_not_included,World Gold Council,https://www.gold.org/goldhub/data/gold-etfs-holdings-and-flows,黄金投资需求与资金流,"holdings level, flows, lagged flows",Download URL located but direct file access may require browser permissions.
central_bank_gold_reserves_changes,Official demand,Monthly/Quarterly,source_located_not_included,World Gold Council / IMF IFS,https://www.gold.org/goldhub/data/gold-reserves-by-country,央行购金/官方储备需求，解释黄金中长期风险,"monthly change, quarterly total",Download URL located but direct file access may require browser permissions.
CFTC_COT_disaggregated_positions,Futures positioning,Weekly,source_located_not_included,CFTC Disaggregated Futures Only,https://publicreporting.cftc.gov/Commitments-of-Traders/Disaggregated-Futures-Only/72hh-3qpy,投机/套保资金流，解释期货端输出风险,"managed money net, producer net, swap net, net/open interest",API source located; historical query to be run outside the current network-restricted environment.
COMEX_volume_open_interest,Market microstructure,Daily/Weekly,source_located_not_included,CME / CFTC,https://www.cmegroup.com/market-data/volume-open-interest.html,流动性与风险承载能力,"volume/OI level, changes",CME data access may require product page/manual export; CFTC OI available weekly.
industrial_production,Industrial demand,Monthly,source_located_not_included,FRED INDPRO / OECD,https://fred.stlouisfed.org/series/INDPRO,白银、铂、钯工业需求代理,"YoY, MoM, rolling mean",FRED source located; not downloaded in current environment.
PMI,Industrial demand,Monthly,source_located_not_included,ISM / S&P Global / Trading Economics,https://www.ismworld.org/supply-management-news-and-reports/reports/ism-pmi-reports/,制造业景气先行指标,"level, change, lagged",Full global PMI history often requires subscription; ISM US series more accessible.
auto_production,Automotive demand,Quarterly/Annual,source_located_not_included,OICA,https://oica.net/production-statistics/,铂钯汽车催化剂需求代理,"YoY growth, level",OICA source located; manual download likely needed.
platinum_supply_demand,PGM fundamentals,Quarterly/Annual,source_located_not_included,WPIC,https://platinuminvestment.com/supply-and-demand/historic-data,铂金长期基本面,"deficit/surplus, supply, demand",Download link located; binary file not fetched in current environment.
palladium_supply_demand,PGM fundamentals,Annual,source_located_not_included,Johnson Matthey,https://matthey.com/en/products-and-markets/pgms-and-circularity/pgm-market-data,钯金长期供需、替代关系和缺口,"deficit/surplus, supply, demand",Download link located; binary file not fetched in current environment.
silver_supply_demand,Silver fundamentals,Annual,source_located_not_included,Silver Institute,https://silverinstitute.org/silver-supply-demand/,白银工业/投资双属性,"supply, demand, deficit/surplus",Annual survey data; may require manual extraction.
